miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
(`hsa-miR-100-5p` + `hsa-miR-125b-5p`)	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.863209429995326 ( T cell CD4+ Th1_XCELL(-0.357951589844109), Common lymphoid progenitor_XCELL(-0.505257840151217) ) Pró-tumoral: -1.19624010877806 ( Endothelial cell_XCELL(0.43176254959373), Cancer associated fibroblast_XCELL(0.764477559184335) ) Dualista: -1.1495198601224 ( B cell memory_CIBERSORT(0.31638313827463), Mast cell activated_CIBERSORT(0.44523391242265), Neutrophil_CIBERSORT(-0.267520838263023), Hematopoietic stem cell_XCELL(0.655423647688141) )
(`hsa-miR-100-5p` + `hsa-miR-143-3p` + `hsa-miR-411-5p`)	UCEC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.437192270027149 ( Cancer associated fibroblast_XCELL(0.437192270027149) ) Dualista: 0 (  )
(`hsa-miR-100-5p` + `hsa-miR-143-3p`)	HNSC	Underexpression	Variável	Macrophage M2_CIBERSORT, 0.270703004574968, 1, Variable	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.995154779198935 ( Cancer associated fibroblast_XCELL(0.370054171153404), Macrophage M2_CIBERSORT(0.270703004574968), Endothelial cell_XCELL(0.354397603470563) ) Dualista: -0.619793024874731 ( Hematopoietic stem cell_XCELL(0.421577581584742), Mast cell activated_CIBERSORT(0.245927795719681), T cell CD4+ memory resting_CIBERSORT(0.272813846333332), T cell follicular helper_CIBERSORT(-0.320526198763024) )
(`hsa-miR-100-5p` + `hsa-miR-148b-3p` + `hsa-miR-186-5p` + `hsa-miR-193a-3p` + `hsa-miR-193a-5p` + `hsa-miR-199a-3p` + `hsa-miR-224-3p` + `hsa-miR-224-5p` + `hsa-miR-24-3p` + `hsa-miR-24-2-5p` + `hsa-miR-452-3p` + `hsa-miR-452-5p` + `hsa-miR-505-3p` + `hsa-miR-653-5p` + `hsa-miR-92b-5p`)	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.369793351398859 ( Common lymphoid progenitor_XCELL(0.369793351398859) ) Pró-tumoral: 0 (  ) Dualista: -0.332666975426533 ( T cell CD4+ memory resting_CIBERSORT(0.360373644601301), T cell follicular helper_CIBERSORT(-0.245298659590405), B cell plasma_CIBERSORT(-0.369647919963527), T cell CD4+ naive_CIBERSORT(-0.391750851772412), Hematopoietic stem cell_XCELL(0.31365681129851) )
(`hsa-miR-100-5p` + `hsa-miR-29c-3p`)	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.084567437365481 ( Common lymphoid progenitor_XCELL(-0.395101681285913), Granulocyte-monocyte progenitor_XCELL(0.310534243920432) ) Pró-tumoral: -0.183083055441335 ( T cell regulatory (Tregs)_CIBERSORT(-0.281141482725561), Endothelial cell_XCELL(0.464224538166896) ) Dualista: -0.063763677533753 ( T cell CD4+ Th2_XCELL(-0.444641762456391), Hematopoietic stem cell_XCELL(0.508405439990144) )
(`hsa-miR-101-3p` + `hsa-let-7a-5p`)	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.878415914507433 ( Hematopoietic stem cell_XCELL(0.36993735630542), B cell memory_CIBERSORT(0.257103392813274), Class-switched memory B cell_XCELL(0.251375165388739) )
(`hsa-miR-103a-2-5p` + `hsa-miR-103a-3p` + `hsa-miR-196a-5p` + `hsa-miR-196a-5p` + `hsa-miR-222-3p` + `hsa-miR-222-5p` + `hsa-miR-24-3p` + `hsa-miR-361-3p`)	STAD	Overexpression	Variável	Macrophage M2_CIBERSORT, -0.307900818670576, 1, Variable	anti-tumoral	Anti-tumoral: 0.646695365068914 ( Common lymphoid progenitor_XCELL(0.27326082051376), T cell CD4+ Th1_XCELL(0.373434544555154) ) Pró-tumoral: -1.23802251022678 ( Endothelial cell_XCELL(-0.377553207065661), Macrophage M2_CIBERSORT(-0.307900818670576), Cancer associated fibroblast_XCELL(-0.552568484490539) ) Dualista: -0.529589613735237 ( T cell follicular helper_CIBERSORT(0.32344807575873), Hematopoietic stem cell_XCELL(-0.519363821076108), Mast cell activated_CIBERSORT(-0.333673868417859) )
(`hsa-miR-103a-2-5p` + `hsa-miR-103a-3p` + `hsa-miR-361-5p`)	UCEC	Overexpression			NS	No data
(`hsa-miR-103a-2-5p` + `hsa-miR-130a-5p` + `hsa-miR-130a-3p` + `hsa-miR-361-5p` + `hsa-let-7f-1-3p`)	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.42607393014216 ( T cell CD4+ Th1_XCELL(0.42607393014216) ) Pró-tumoral: 0 (  ) Dualista: -0.659953338449805 ( Mast cell activated_CIBERSORT(-0.328343483266263), Hematopoietic stem cell_XCELL(-0.331609855183542) )
(`hsa-miR-103a-2-5p` + `hsa-miR-130a-5p` + `hsa-miR-222-3p`)	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.238839363855155 ( Common lymphoid progenitor_XCELL(0.238839363855155) ) Pró-tumoral: -0.624424907219894 ( Cancer associated fibroblast_XCELL(-0.335243829868324), Endothelial cell_XCELL(-0.28918107735157) ) Dualista: -0.6588616604087 ( T cell CD4+ memory resting_CIBERSORT(-0.250684307619656), Hematopoietic stem cell_XCELL(-0.408177352789044) )
(`hsa-miR-103a-3p` + `hsa-miR-107` + `hsa-miR-128-3p` + `hsa-miR-148b-3p` + `hsa-miR-148b-5p` + `hsa-miR-183-3p` + `hsa-miR-183-5p` + `hsa-miR-186-5p` + `hsa-miR-192-5p` + `hsa-miR-197-3p` + `hsa-miR-20a-5p` + `hsa-miR-210-3p` + `hsa-miR-301a-5p` + `hsa-miR-3127-5p` + `hsa-miR-33b-5p` + `hsa-miR-423-3p` + `hsa-miR-760` + `hsa-miR-96-5p`)	UCEC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-103a-3p` + `hsa-miR-107` + `hsa-miR-128-3p` + `hsa-miR-183-5p` + `hsa-miR-20a-3p` + `hsa-miR-20a-5p` + `hsa-miR-301a-5p` + `hsa-miR-3127-5p` + `hsa-miR-335-3p` + `hsa-miR-423-3p` + `hsa-miR-96-5p`)	ESCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-103a-3p` + `hsa-miR-128-1-5p` + `hsa-miR-1301-3p` + `hsa-miR-148b-3p` + `hsa-miR-148b-5p` + `hsa-miR-186-5p` + `hsa-miR-192-5p` + `hsa-miR-20a-3p` + `hsa-miR-20a-5p` + `hsa-miR-210-3p` + `hsa-miR-24-3p` + `hsa-miR-301a-5p` + `hsa-miR-301a-3p` + `hsa-miR-3127-5p` + `hsa-miR-335-3p` + `hsa-miR-335-5p` + `hsa-miR-423-3p` + `hsa-miR-454-3p` + `hsa-miR-505-3p` + `hsa-miR-760` + `hsa-miR-92b-3p`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.521586281980533 ( Granulocyte-monocyte progenitor_XCELL(-0.282804462829898), Common lymphoid progenitor_XCELL(0.334839311114215), T cell CD4+ Th1_XCELL(0.469551433696216) ) Pró-tumoral: -1.02322365292325 ( Cancer associated fibroblast_XCELL(-0.614002495584523), Endothelial cell_XCELL(-0.409221157338726) ) Dualista: -1.05704692169031 ( B cell memory_CIBERSORT(-0.299780227522543), T cell CD4+ Th2_XCELL(0.321728836669907), Mast cell activated_CIBERSORT(-0.482527516844047), Hematopoietic stem cell_XCELL(-0.596468013993627) )
(`hsa-miR-103a-3p` + `hsa-miR-152-3p` + `hsa-miR-204-5p` + `hsa-miR-204-3p` + `hsa-miR-23b-3p` + `hsa-miR-24-1-5p` + `hsa-miR-24-3p`)	TGCT	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 1.9844982453906 ( Endothelial cell_XCELL(0.632389182162813), Macrophage M2_CIBERSORT(0.609874636248286), Cancer associated fibroblast_XCELL(0.742234426979497) ) Dualista: -0.520175016279808 ( Hematopoietic stem cell_XCELL(0.726493249322936), T cell CD4+ Th2_XCELL(-0.60221174964861), Class-switched memory B cell_XCELL(-0.644456515954134) )
(`hsa-miR-103a-3p` + `hsa-miR-197-3p` + `hsa-miR-96-5p` + `hsa-let-7g-5p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.032865622852577 ( Common lymphoid progenitor_XCELL(-0.385171593335673), T cell CD4+ Th1_XCELL(0.352305970483096) ) Pró-tumoral: 0 (  ) Dualista: -0.253888700507416 ( T cell CD4+ memory resting_CIBERSORT(-0.272614733458301), Hematopoietic stem cell_XCELL(-0.243673813522094), T cell follicular helper_CIBERSORT(0.262399846472979) )
(`hsa-miR-103a-3p` + `hsa-miR-423-5p`)	BLCA	Overexpression	Variável	Macrophage M2_CIBERSORT, -0.272033188564093, 1, Variable	anti-tumoral	Anti-tumoral: 0.289882669173223 ( Myeloid dendritic cell activated_CIBERSORT(0.289882669173223) ) Pró-tumoral: -0.731892675019983 ( Macrophage M2_CIBERSORT(-0.272033188564093), Cancer associated fibroblast_XCELL(-0.45985948645589) ) Dualista: 0 (  )
(`hsa-miR-105-5p` + `hsa-miR-196b-5p` + `hsa-miR-766-3p` + `hsa-miR-98-3p` + `hsa-miR-98-5p`)	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-105-5p` + `hsa-miR-98-3p`)	LUSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-106a-5p` + `hsa-miR-129-5p` + `hsa-miR-17-5p` + `hsa-miR-9-3p` + `hsa-miR-9-5p` + `hsa-miR-93-3p` + `hsa-miR-93-5p`)	LUSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.27470253712533 ( Common lymphoid progenitor_XCELL(0.27470253712533) ) Pró-tumoral: -0.75005400010551 ( Endothelial cell_XCELL(-0.431160967630899), Cancer associated fibroblast_XCELL(-0.318893032474611) ) Dualista: -0.094944177247005 ( Hematopoietic stem cell_XCELL(-0.370736788055383), T cell CD4+ Th2_XCELL(0.275792610808378) )
(`hsa-miR-106a-5p` + `hsa-miR-15a-5p` + `hsa-miR-17-3p` + `hsa-miR-17-5p` + `hsa-miR-93-3p` + `hsa-miR-93-5p`)	BRCA	Overexpression	Variável	Macrophage M2_CIBERSORT, -0.189710085349019, 1, Variable	anti-tumoral	Anti-tumoral: 0.651693522505565 ( T cell CD4+ Th1_XCELL(0.41250879032984), T cell CD4+ memory activated_CIBERSORT(0.239184732175725) ) Pró-tumoral: -0.839709681870449 ( Cancer associated fibroblast_XCELL(-0.333713456345343), Endothelial cell_XCELL(-0.316286140176087), Macrophage M2_CIBERSORT(-0.189710085349019) ) Dualista: 0.17066521990962 ( T cell follicular helper_CIBERSORT(0.26565523417678), T cell CD4+ Th2_XCELL(0.487052583764302), Macrophage M0_CIBERSORT(0.216571315417216), Mast cell activated_CIBERSORT(-0.416968868040655), Hematopoietic stem cell_XCELL(-0.381645045408023) )
(`hsa-miR-106a-5p` + `hsa-miR-15a-5p` + `hsa-miR-17-5p` + `hsa-miR-17-3p` + `hsa-miR-93-3p` + `hsa-miR-93-5p`)	UCEC	Overexpression			NS	No data
(`hsa-miR-106a-5p` + `hsa-miR-15a-5p` + `hsa-miR-17-5p` + `hsa-miR-17-3p` + `hsa-miR-93-5p`)	THYM	Unchanged	Variável	"c(""""Macrophage M1_CIBERSORT"""", """"Macrophage M2_CIBERSORT"""", """"NK cell activated_CIBERSORT""""), c(-0.630613981680332, -0.710376521542499, -0.540428707424348), c(1, 1, 3), c(""""Cold"""", """"Cold"""", """"Variable"""")"	dualista	Anti-tumoral: 0.649764427699919 ( Macrophage M1_CIBERSORT(-0.630613981680332), T cell CD4+ Th1_XCELL(0.592809275290339), Granulocyte-monocyte progenitor_XCELL(0.498644852681334), NK cell activated_CIBERSORT(-0.540428707424348), Common lymphoid progenitor_XCELL(0.729352988832926) ) Pró-tumoral: -0.057100777957561 ( Macrophage M2_CIBERSORT(-0.710376521542499), T cell regulatory (Tregs)_CIBERSORT(0.653275743584938) ) Dualista: 1.83068278935759 ( T cell CD4+ naive_CIBERSORT(0.592980760785337), T cell CD4+ Th2_XCELL(0.690815734286299), T cell follicular helper_CIBERSORT(0.546886294285956) )
(`hsa-miR-106a-5p` + `hsa-miR-15a-5p` + `hsa-miR-17-5p` + `hsa-miR-93-3p` + `hsa-miR-93-5p`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.602966936830925 ( Granulocyte-monocyte progenitor_XCELL(-0.279446979950104), Common lymphoid progenitor_XCELL(0.472331843024805), T cell CD4+ Th1_XCELL(0.410082073756224) ) Pró-tumoral: -1.03069444234731 ( Endothelial cell_XCELL(-0.399783139739035), Cancer associated fibroblast_XCELL(-0.630911302608275) ) Dualista: -0.946622308354301 ( B cell memory_CIBERSORT(-0.279186896911186), Mast cell activated_CIBERSORT(-0.459388640151963), T cell CD4+ Th2_XCELL(0.391060590890811), Hematopoietic stem cell_XCELL(-0.599107362181963) )
(`hsa-miR-106a-5p` + `hsa-miR-17-3p` + `hsa-miR-17-5p` + `hsa-miR-9-3p` + `hsa-miR-9-5p` + `hsa-miR-93-3p` + `hsa-miR-93-5p`)	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.036500732302926 ( Granulocyte-monocyte progenitor_XCELL(-0.369231713785597), T cell CD4+ Th1_XCELL(0.332730981482671) ) Pró-tumoral: -0.282145229393135 ( Cancer associated fibroblast_XCELL(-0.282145229393135) ) Dualista: -0.456912882655072 ( T cell CD4+ Th2_XCELL(0.407788173611136), Mast cell activated_CIBERSORT(-0.344351384530796), Myeloid dendritic cell resting_CIBERSORT(-0.280207165858947), Macrophage M0_CIBERSORT(0.246446444871397), Hematopoietic stem cell_XCELL(-0.431305169822347), T cell follicular helper_CIBERSORT(0.246573273602119), T cell CD4+ memory resting_CIBERSORT(-0.301857054527634) )
(`hsa-miR-106a-5p` + `hsa-miR-17-3p` + `hsa-miR-17-5p` + `hsa-miR-93-3p` + `hsa-miR-93-5p`)	CESC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-106a-5p` + `hsa-miR-17-3p` + `hsa-miR-93-5p`)	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-106a-5p` + `hsa-miR-17-5p` + `hsa-miR-491-3p` + `hsa-miR-9-5p` + `hsa-miR-93-3p`)	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.289208702943698 ( T cell CD4+ Th1_XCELL(0.289208702943698) ) Pró-tumoral: -0.410667755691074 ( Cancer associated fibroblast_XCELL(-0.410667755691074) ) Dualista: -0.64288247310767 ( Hematopoietic stem cell_XCELL(-0.371107699483279), Mast cell activated_CIBERSORT(-0.271774773624391) )
(`hsa-miR-106a-5p` + `hsa-miR-17-5p` + `hsa-miR-93-3p` + `hsa-miR-93-5p`)	HNSC	Overexpression	Variável	Macrophage M2_CIBERSORT, -0.339832349960273, 1, Variable	dualista	Anti-tumoral: 0.361483388458407 ( Common lymphoid progenitor_XCELL(0.361483388458407) ) Pró-tumoral: -0.637781150054976 ( Endothelial cell_XCELL(-0.297948800094703), Macrophage M2_CIBERSORT(-0.339832349960273) ) Dualista: 0.503523405623349 ( T cell CD4+ Th2_XCELL(0.25666601232665), T cell follicular helper_CIBERSORT(0.246857393296699) )
(`hsa-miR-106a-5p` + `hsa-miR-17-5p` + `hsa-miR-93-5p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.151520351635872 ( Common lymphoid progenitor_XCELL(-0.323470106866922), Granulocyte-monocyte progenitor_XCELL(-0.264017819962265), T cell CD4+ Th1_XCELL(0.435967575193315) ) Pró-tumoral: 0 (  ) Dualista: 0.021227074556105 ( T cell follicular helper_CIBERSORT(0.278586073121485), Hematopoietic stem cell_XCELL(-0.25735899856538) )
(`hsa-miR-106a-5p` + `hsa-miR-93-5p`)	LAML	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.525238073422474 ( T cell CD4+ Th2_XCELL(0.525238073422474) )
(`hsa-miR-106b-3p` + `hsa-miR-106b-5p` + `hsa-miR-182-5p` + `hsa-miR-18a-3p` + `hsa-miR-18a-5p` + `hsa-miR-200b-3p` + `hsa-miR-200b-5p` + `hsa-miR-30c-1-3p`)	BLCA	Overexpression	Variável	"c(""""Macrophage M2_CIBERSORT"""", """"Macrophage M1_CIBERSORT""""), c(-0.274277618989207, -0.326741740373547), c(1, 1), c(""""Variable"""", """"Variable"""")"	anti-tumoral	Anti-tumoral: -0.324906108803296 ( Myeloid dendritic cell activated_CIBERSORT(0.340546861478294), Granulocyte-monocyte progenitor_XCELL(-0.338711229908043), Macrophage M1_CIBERSORT(-0.326741740373547) ) Pró-tumoral: -0.789787734509868 ( Cancer associated fibroblast_XCELL(-0.515510115520661), Macrophage M2_CIBERSORT(-0.274277618989207) ) Dualista: -0.349607696929702 ( Hematopoietic stem cell_XCELL(-0.349607696929702) )
(`hsa-miR-106b-3p` + `hsa-miR-106b-5p` + `hsa-miR-182-5p` + `hsa-miR-18a-3p` + `hsa-miR-18a-5p` + `hsa-miR-200b-3p` + `hsa-miR-200b-5p`)	CESC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-106b-3p` + `hsa-miR-106b-5p` + `hsa-miR-18a-5p` + `hsa-miR-18a-3p` + `hsa-miR-455-3p`)	ESCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.373744763200896 ( T cell CD4+ Th2_XCELL(0.461771196830234), Mast cell activated_CIBERSORT(-0.433296314847611), Hematopoietic stem cell_XCELL(-0.402219645183519) )
(`hsa-miR-106b-3p` + `hsa-miR-138-1-3p` + `hsa-miR-138-5p` + `hsa-miR-138-5p`)	BRCA	Unchanged	Variável	"c(""""Macrophage M1_CIBERSORT"""", """"Macrophage M2_CIBERSORT""""), c(0.248571108249261, -0.303442589659681), c(1, 1), c(""""Variable"""", """"Variable"""")"	anti-tumoral	Anti-tumoral: 0.523085039649562 ( Macrophage M1_CIBERSORT(0.248571108249261), T cell CD4+ memory activated_CIBERSORT(0.274513931400301) ) Pró-tumoral: -0.303442589659681 ( Macrophage M2_CIBERSORT(-0.303442589659681) ) Dualista: 0.352266720195148 ( T cell CD4+ Th2_XCELL(0.491341329379574), T cell follicular helper_CIBERSORT(0.206135608158207), Mast cell activated_CIBERSORT(-0.345210217342633) )
(`hsa-miR-106b-3p` + `hsa-miR-18a-3p`)	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.356512327831584 ( Endothelial cell_XCELL(-0.356512327831584) ) Dualista: -0.016770163832934 ( T cell CD4+ Th2_XCELL(0.38004085175415), Hematopoietic stem cell_XCELL(-0.396811015587084) )
(`hsa-miR-106b-3p` + `hsa-miR-18a-3p`)	LUAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.050579791704244 ( T cell CD4+ Th1_XCELL(0.343610021323697), Granulocyte-monocyte progenitor_XCELL(-0.293030229619453) ) Pró-tumoral: -0.326256433683382 ( Cancer associated fibroblast_XCELL(-0.326256433683382) ) Dualista: -0.670205567585973 ( Mast cell activated_CIBERSORT(-0.320303639722224), Hematopoietic stem cell_XCELL(-0.377089101109866), Myeloid dendritic cell resting_CIBERSORT(-0.288705007871981), T cell CD4+ Th2_XCELL(0.315892181118098) )
(`hsa-miR-106b-5p` + `hsa-miR-106b-3p` + `hsa-miR-182-5p` + `hsa-miR-200b-3p` + `hsa-miR-200b-5p`)	UCEC	Overexpression			NS	No data
